Title,Link,Authors,Year,Cited,
Effect of jatrophas’s (Jatropha curcas l) sap topically in the level of cuts recovery on white rats sprague dawley strain,https://scholar.google.com/scholar?q=+intitle:'Effect of jatrophas’s (Jatropha curcas l) sap topically in the level of cuts recovery on white rats sprague dawley strain',"Authors : A Napanggala, AE Susianti",2014,23 cited,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
Pengaruh Pemberian Getah Tanaman Jarak Pagar (Jatropha curcas L.) Secara Topikal Terhadap Tingkat Kesembuhan Luka Iris Pada Tikus Putih Jantan Galur Sprague dawley,https://scholar.google.com/scholar?q=+intitle:'Pengaruh Pemberian Getah Tanaman Jarak Pagar (Jatropha curcas L.) Secara Topikal Terhadap Tingkat Kesembuhan Luka Iris Pada Tikus Putih Jantan Galur Sprague dawley',Authors : ADI NAPANGGALA,2014,8 cited,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
Buah Mengkudu (Morinda citrifolia) Sebagai Penghambat Aterosklerosis,https://scholar.google.com/scholar?q=+intitle:'Buah Mengkudu (Morinda citrifolia) Sebagai Penghambat Aterosklerosis',Authors : I Windarti,2014,0 cited,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
Susianti. Pengaruh pemberian getah tanaman jarak pagar (Jatropha curcas l.) secara topikal terhadap tingkat kesembuhan luka iris pada tikus putih jantan galur sprague dawley,https://scholar.google.com/scholar?q=+intitle:'Susianti. Pengaruh pemberian getah tanaman jarak pagar (Jatropha curcas l.) secara topikal terhadap tingkat kesembuhan luka iris pada tikus putih jantan galur sprague dawley',Authors : A Napanggala,2014,0 cited,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
The Effect Of Red Ginger Ethanol Extract (Zingiber Officinale Roxb Var Rubrum) On Sperm Motility And Morphology Of Cigarette Smoke-Induced Male Rats (Rattus Norvegicus) Sprague …,https://scholar.google.com/scholar?q=+intitle:'The Effect Of Red Ginger Ethanol Extract (Zingiber Officinale Roxb Var Rubrum) On Sperm Motility And Morphology Of Cigarette Smoke-Induced Male Rats (Rattus Norvegicus) Sprague …',"Authors : F Risni, S Sutyarso, S Tiwuk",2014,0 cited,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
Effect of jatropha’s (jatropha curcas l.) sap topically in the level of cuts recovery on white rats sprague dawley strain,https://scholar.google.com/scholar?q=+intitle:'Effect of jatropha’s (jatropha curcas l.) sap topically in the level of cuts recovery on white rats sprague dawley strain',"Authors : A Napanggala, AE Susianti",2014,23 cited,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
Manajemen Produksi Roti Kering Dollar Di Pusat Penelitian Kopi Dan Kakao Indonesia Jember,https://scholar.google.com/scholar?q=+intitle:'Manajemen Produksi Roti Kering Dollar Di Pusat Penelitian Kopi Dan Kakao Indonesia Jember',Authors : S SUSIANTI,2014,0 cited,Decent Work and Economic Growth (Pekerjaan Layak dan Pertumbuhan Ekonomi)
,,,,,Responsible Consumption and Production (Konsumsi dan Produksi yang Bertanggungjawab)
Analisis Usaha Rempeyek Renyah Kacang Tanah “Ncus” Di Kecamatan Sumbersari Kabupaten Jember,https://scholar.google.com/scholar?q=+intitle:'Analisis Usaha Rempeyek Renyah Kacang Tanah “Ncus” Di Kecamatan Sumbersari Kabupaten Jember',Authors : S Susianti,2014,0 cited,Decent Work and Economic Growth (Pekerjaan Layak dan Pertumbuhan Ekonomi)
,,,,,Responsible Consumption and Production (Konsumsi dan Produksi yang Bertanggungjawab)
POTENSI TIMOQUINON DARI JINTEN HITAM (NIGELLASATIVAL) DALAM KEMOTERAPIKANKER SERVIKS,https://scholar.google.com/scholar?q=+intitle:'POTENSI TIMOQUINON DARI JINTEN HITAM (NIGELLASATIVAL) DALAM KEMOTERAPIKANKER SERVIKS',Authors : S Susianti,2014,0 cited,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
The Effect of Ultraviolet (UV) C Lamp Exposure on Organ Weights and Histopathology Appearance Liver in Male Mice (Mus musculus L.),https://scholar.google.com/scholar?q=+intitle:'The Effect of Ultraviolet (UV) C Lamp Exposure on Organ Weights and Histopathology Appearance Liver in Male Mice (Mus musculus L.)',"Authors : R Andani, BH Susianti",2014,2 cited,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
THE EFFECT OF ETHANOLIC EXTRACT OF CENTELLA ASIATICA (L) URBAN ADMINISTRATION TOWARDS THE THICKNESS OF PYRAMIDAL LAYER IN THE CA1 REGION OF HIPPOCAMPUS OF SPRAGUE DAWLEY RATS …,https://scholar.google.com/scholar?q=+intitle:'THE EFFECT OF ETHANOLIC EXTRACT OF CENTELLA ASIATICA (L) URBAN ADMINISTRATION TOWARDS THE THICKNESS OF PYRAMIDAL LAYER IN THE CA1 REGION OF HIPPOCAMPUS OF SPRAGUE DAWLEY RATS …',"Authors : AJ Wulan, B Wasita, N Wiyono",2014,0 cited,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
Perbandingan Efek Kemopreventif Pemberian Ekstrak dan Infusa Daun Sirsak (Annona muricata L.) terhadap Gambaran Mikroskopis Jaringan Payudara Tikus Beti...,https://scholar.google.com/scholar?q=+intitle:'Perbandingan Efek Kemopreventif Pemberian Ekstrak dan Infusa Daun Sirsak (Annona muricata L.) terhadap Gambaran Mikroskopis Jaringan Payudara Tikus Beti...',"Authors : B Setiyadi, T Susantiningsih, E Apriliana, I Windarti",2014,0 cited,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
The Determining type of Extended-Spectrum B-Lactamase Enzyme (ESBL) from Escherichia coil resistance Cephalosporine of third Generation in RSUD Abdoel Mo...,https://scholar.google.com/scholar?q=+intitle:'The Determining type of Extended-Spectrum B-Lactamase Enzyme (ESBL) from Escherichia coil resistance Cephalosporine of third Generation in RSUD Abdoel Mo...',"Authors : E Warganegara, E Apriliana",2014,3 cited,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
Kualitas hidup pada pasien melasma di RSUD Dr. H. Abdul Moeloek Lampung,https://scholar.google.com/scholar?q=+intitle:'Kualitas hidup pada pasien melasma di RSUD Dr. H. Abdul Moeloek Lampung',"Authors : PU Hadiyati, HT Sibero, E Apriliana",2014,4 cited,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
Pengaruh Pemberian Getah Tanaman Jarak Pagar (Jatropha curcas L.) Secara Topikal Terhadap Tingkat Kesembuhan Luka Iris Pada Tikus Putih Jantan Galur Spr...,https://scholar.google.com/scholar?q=+intitle:'Pengaruh Pemberian Getah Tanaman Jarak Pagar (Jatropha curcas L.) Secara Topikal Terhadap Tingkat Kesembuhan Luka Iris Pada Tikus Putih Jantan Galur Spr...',"Authors : A Napanggala, E Apriliana",2014,1 cited,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
Human leukocyte antigen (HLA) gene in dengue infection,https://scholar.google.com/scholar?q=+intitle:'Human leukocyte antigen (HLA) gene in dengue infection',Authors : E Apriliana,2014,3 cited,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
Uji most probable number (MPN) dan deteksi bakteri koliform dalam minuman jajanan yang dijual di sekolah dasar kecamatan Sukabumi kota Bandar Lampung,https://scholar.google.com/scholar?q=+intitle:'Uji most probable number (MPN) dan deteksi bakteri koliform dalam minuman jajanan yang dijual di sekolah dasar kecamatan Sukabumi kota Bandar Lampung',Authors : LS SELIAN,2014,5 cited,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
Perbandingan Efek Kemopreventif Pemberian Ekstrak dan Infusa Daun Sirsak (Annona muricata L.) terhadap Gambaran Mikroskopis Jaringan Payudara Tikus Betina Galur Sprague Dawley …,https://scholar.google.com/scholar?q=+intitle:'Perbandingan Efek Kemopreventif Pemberian Ekstrak dan Infusa Daun Sirsak (Annona muricata L.) terhadap Gambaran Mikroskopis Jaringan Payudara Tikus Betina Galur Sprague Dawley …',"Authors : B Setiyadi, T Susantiningsih, E Apriliana, I Windarti",2014,0 cited,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
The Determining type of Extended-Spectrum B-Lactamase Enzyme (ESBL) from Escherichia coil resistance Cephalosporine of third Generation in RSUD Abdoel Moeloek Bandar Lampung,https://scholar.google.com/scholar?q=+intitle:'The Determining type of Extended-Spectrum B-Lactamase Enzyme (ESBL) from Escherichia coil resistance Cephalosporine of third Generation in RSUD Abdoel Moeloek Bandar Lampung',"Authors : E Warganegara, E Apriliana",2014,13 cited,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
Pengaruh Pemberian Ekstrak Etanol Jahe Merah (Zingiber Officinale Roxb Var Rubrum) Terhadap Jumlah Sel Spermatogenik Tikus Putih (Rattus Norvegicus) Jantan Galur Sprague Dawley …,https://scholar.google.com/scholar?q=+intitle:'Pengaruh Pemberian Ekstrak Etanol Jahe Merah (Zingiber Officinale Roxb Var Rubrum) Terhadap Jumlah Sel Spermatogenik Tikus Putih (Rattus Norvegicus) Jantan Galur Sprague Dawley …',"Authors : V Weldimira, T Susantiningsih, E Aprilliana",2014,0 cited,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
Pertumbuhan Mikroorganisme Pada Pasi Di Unit Perinatologi Rumah Sakit Abdul Moeloek Bandar Lampung,https://scholar.google.com/scholar?q=+intitle:'Pertumbuhan Mikroorganisme Pada Pasi Di Unit Perinatologi Rumah Sakit Abdul Moeloek Bandar Lampung',"Authors : NA Prayogi, E Aprliana, P Rukmono",2014,0 cited,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
INDEKS KEPUASAN MASYARAKAT PADA PELAYANAN JAMKESMAS DI RUMAH SAKIT (Studi Pada Rumah Sakit Umum Abdoel Moeloek Bandar Lampung),https://scholar.google.com/scholar?q=+intitle:'INDEKS KEPUASAN MASYARAKAT PADA PELAYANAN JAMKESMAS DI RUMAH SAKIT (Studi Pada Rumah Sakit Umum Abdoel Moeloek Bandar Lampung)',"Authors : A Aris Styadi, DW Dewie Brima Atika",2014,0 cited,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
PENGARUH PEMBELAJARAN KOOPERATIF TIPE ARTIKULASI TERHADAP PRESTASI BELAJAR SISWA DALAM PEMBELAJARAN SEJARAH SISWA KELAS RN...,https://scholar.google.com/scholar?q=+intitle:'PENGARUH PEMBELAJARAN KOOPERATIF TIPE ARTIKULASI TERHADAP PRESTASI BELAJAR SISWA DALAM PEMBELAJARAN SEJARAH SISWA KELAS RN...',Authors : S Ramadiana,2014,0 cited,Quality Education (Pendidikan Berkualitas)
Kajian Toksisitas Ekstrak Daun (Mentha Arvensis Linn.) Terhadap Mortalitas Larva Penggerek Batang Jagung (Ostrinia Furnacalis Guen.),https://scholar.google.com/scholar?q=+intitle:'Kajian Toksisitas Ekstrak Daun (Mentha Arvensis Linn.) Terhadap Mortalitas Larva Penggerek Batang Jagung (Ostrinia Furnacalis Guen.)',"Authors : E Yulianita, N Yasin, AM Hariri, S Subeki",2014,0 cited,Life on Land (Ekosistem Daratan)
,,,,,Responsible Consumption and Production (Konsumsi dan Produksi yang Bertanggungjawab)
,,,,,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
"PEMODELAN VARIABEL LOYALITAS DAN WORD OF MOUTH KONSUMEN YANG DIPENGARUHI SUASANA PELAYANAN, INTERAKSI, DAN KEPUASAN","https://scholar.google.com/scholar?q=+intitle:'PEMODELAN VARIABEL LOYALITAS DAN WORD OF MOUTH KONSUMEN YANG DIPENGARUHI SUASANA PELAYANAN, INTERAKSI, DAN KEPUASAN'",Authors : S Ali,2014,0 cited,Decent Work and Economic Growth (Pekerjaan Layak dan Pertumbuhan Ekonomi)
,,,,,Responsible Consumption and Production (Konsumsi dan Produksi yang Bertanggungjawab)
"Pengaruh Penggunaan Produk, Kepuasan dan Keterlibatan pada Perilaku Perpindahan Merek (Studi pada Pengguna Smartphone di Bandar Lampung)","https://scholar.google.com/scholar?q=+intitle:'Pengaruh Penggunaan Produk, Kepuasan dan Keterlibatan pada Perilaku Perpindahan Merek (Studi pada Pengguna Smartphone di Bandar Lampung)'","Authors : MZ Adha, S Ali",2014,0 cited,Decent Work and Economic Growth (Pekerjaan Layak dan Pertumbuhan Ekonomi)
"Eksplorasi Pengetahuan, Nilai Simbolis, dan Identitas Etnis Produsen-Konsumen Produk Kain Tapis","https://scholar.google.com/scholar?q=+intitle:'Eksplorasi Pengetahuan, Nilai Simbolis, dan Identitas Etnis Produsen-Konsumen Produk Kain Tapis'","Authors : IS Marsuki, A Rifa'i, S Ali",2014,2 cited,Decent Work and Economic Growth (Pekerjaan Layak dan Pertumbuhan Ekonomi)
,,,,,Responsible Consumption and Production (Konsumsi dan Produksi yang Bertanggungjawab)
Isolat bakteri asam laktat sebagai probiotik dengan vaksinasi AI dan ND dalam pembentukan titer antibodi dan bobot badan ayam jantan tipe medium,https://scholar.google.com/scholar?q=+intitle:'Isolat bakteri asam laktat sebagai probiotik dengan vaksinasi AI dan ND dalam pembentukan titer antibodi dan bobot badan ayam jantan tipe medium',Authors : R Sutrisna,2014,7 cited,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
Pengaruh Suplementasi Hidrolisat Bulu Ayam Dan Mineral Organik Terhadap Kadar Vfa Serta Nh3 Pada Cairan Rumen Sapi,https://scholar.google.com/scholar?q=+intitle:'Pengaruh Suplementasi Hidrolisat Bulu Ayam Dan Mineral Organik Terhadap Kadar Vfa Serta Nh3 Pada Cairan Rumen Sapi',"Authors : DA Kusuma, R Sutrisna",2014,0 cited,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
Status Nutrisi Sapi Peranakan Ongolr di Kecamatan Bumi Agung Kabupaten Lampung Timur,https://scholar.google.com/scholar?q=+intitle:'Status Nutrisi Sapi Peranakan Ongolr di Kecamatan Bumi Agung Kabupaten Lampung Timur',"Authors : R Septori, R Sutrisna",2014,1 cited,Zero Hunger (Tanpa Kelaparan)
,,,,,Responsible Consumption and Production (Konsumsi dan Produksi yang Bertanggungjawab)
PENGARUH SUPLEMENTASI HIDROLISAT BULU AYAM DAN MINERAL ORGANIK UNTUK MENINGKATKAN KECERNAAN PROTEIN KASAR PADA RANSUM S...,https://scholar.google.com/scholar?q=+intitle:'PENGARUH SUPLEMENTASI HIDROLISAT BULU AYAM DAN MINERAL ORGANIK UNTUK MENINGKATKAN KECERNAAN PROTEIN KASAR PADA RANSUM S...',"Authors : RM Wijaya, R Sutrisna",2014,0 cited,Zero Hunger (Tanpa Kelaparan)
,,,,,Responsible Consumption and Production (Konsumsi dan Produksi yang Bertanggungjawab)
Pengaruh Suplementasi Hidrolisat Bulu Ayam dan Mineral Organik untuk Meningkatkan Kecernaan Protein Kasar pada Ransum Sapi,https://scholar.google.com/scholar?q=+intitle:'Pengaruh Suplementasi Hidrolisat Bulu Ayam dan Mineral Organik untuk Meningkatkan Kecernaan Protein Kasar pada Ransum Sapi',"Authors : RM Wijaya, R Sutrisna",2014,0 cited,Zero Hunger (Tanpa Kelaparan)
,,,,,Responsible Consumption and Production (Konsumsi dan Produksi yang Bertanggungjawab)
Potensi Hijauan sebagai Pakan Ruminansia di Kecamatan Bumi Agung Kabupaten Lampung Timur,https://scholar.google.com/scholar?q=+intitle:'Potensi Hijauan sebagai Pakan Ruminansia di Kecamatan Bumi Agung Kabupaten Lampung Timur',"Authors : R Sutrisna, Muhtarudin",2014,43 cited,Zero Hunger (Tanpa Kelaparan)
,,,,,Responsible Consumption and Production (Konsumsi dan Produksi yang Bertanggungjawab)
Pengaruh suhu dan lama thawing di dataran rendah terhadap kualitas semen beku sapi Brahman,https://scholar.google.com/scholar?q=+intitle:'Pengaruh suhu dan lama thawing di dataran rendah terhadap kualitas semen beku sapi Brahman',"Authors : M Fauzan, M Hartono, PE Santosa",2014,14 cited,Zero Hunger (Tanpa Kelaparan)
,,,,,Life on Land (Ekosistem Daratan)
Pengaruh Jarak Straw dengan Nitrogen Cair pada Proses Pre Freezing terhadap Kualitas Semen Beku Sapi Limousin,https://scholar.google.com/scholar?q=+intitle:'Pengaruh Jarak Straw dengan Nitrogen Cair pada Proses Pre Freezing terhadap Kualitas Semen Beku Sapi Limousin',"Authors : K Aini, S Suharyati, M Hartono",2014,7 cited,Zero Hunger (Tanpa Kelaparan)
Pengaruh Paritas Terhadap Persentase Estrus dan Kebuntingan Pada Sapi Bali yang Disinkronisasi Estrus dengan Dua Kali Penyuntikan Prostaglandin F2α (PGF2α),https://scholar.google.com/scholar?q=+intitle:'Pengaruh Paritas Terhadap Persentase Estrus dan Kebuntingan Pada Sapi Bali yang Disinkronisasi Estrus dengan Dua Kali Penyuntikan Prostaglandin F2α (PGF2α)',"Authors : R Fadillah, S Suharyati, M Hartono",2014,1 cited,Zero Hunger (Tanpa Kelaparan)
,,,,,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
Respon kecepatan timbilnya estrus dan lama estrus pada berbagai paritas sapi peranakan ongole (PO) setelah dua kali penyuntikan prostaglandin F2α (PGF2α),https://scholar.google.com/scholar?q=+intitle:'Respon kecepatan timbilnya estrus dan lama estrus pada berbagai paritas sapi peranakan ongole (PO) setelah dua kali penyuntikan prostaglandin F2α (PGF2α)',"Authors : SM Irmaylin, M Hartono, PE Santosa",2014,10 cited,Zero Hunger (Tanpa Kelaparan)
,,,,,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
Faktor-Faktor Yang Memengaruhi Angka Kebuntingan (Conception Rate) pada Sapi Potong Setelah Dilakukan Sinkronisasi Estrus di Kabupaten Lampung Tengah,https://scholar.google.com/scholar?q=+intitle:'Faktor-Faktor Yang Memengaruhi Angka Kebuntingan (Conception Rate) pada Sapi Potong Setelah Dilakukan Sinkronisasi Estrus di Kabupaten Lampung Tengah',"Authors : Z Al Arif, M Hartono, S Suharyati",2014,4 cited,Zero Hunger (Tanpa Kelaparan)
Faktor-faktor yang mempengaruhi angka kebuntingan (conception rate) pada sapi potong setelah dilakukan sinkronisasi estrus di Kabupaten pringsewu,https://scholar.google.com/scholar?q=+intitle:'Faktor-faktor yang mempengaruhi angka kebuntingan (conception rate) pada sapi potong setelah dilakukan sinkronisasi estrus di Kabupaten pringsewu',"Authors : T Nurjanah, M Hartono, S Suharyati",2014,7 cited,Zero Hunger (Tanpa Kelaparan)
Respon kecepatan timbulnya estrus dan lama estrus pada berbagai paritas sapi Bali setelah dua kali pemberian prostaglandin F2α (PGF2α),https://scholar.google.com/scholar?q=+intitle:'Respon kecepatan timbulnya estrus dan lama estrus pada berbagai paritas sapi Bali setelah dua kali pemberian prostaglandin F2α (PGF2α)',"Authors : UF Handayani, M Hartono",2014,36 cited,Zero Hunger (Tanpa Kelaparan)
Gambaran Darah Ayam Petelur Fase Grower (7--10 Minggu) pada Kepadatan Kandang Berbeda,https://scholar.google.com/scholar?q=+intitle:'Gambaran Darah Ayam Petelur Fase Grower (7--10 Minggu) pada Kepadatan Kandang Berbeda',"Authors : D Wijayanti, M Hartono",2014,2 cited,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
"Uji Probiotik dari Mikrobial Lokal Untuk Layer Dalam Upaya Meningkatkan Kesehatan, Performa Ayam, dan Kualitas Telur","https://scholar.google.com/scholar?q=+intitle:'Uji Probiotik dari Mikrobial Lokal Untuk Layer Dalam Upaya Meningkatkan Kesehatan, Performa Ayam, dan Kualitas Telur'","Authors : T Kurtini, M Hartono",2014,5 cited,Zero Hunger (Tanpa Kelaparan)
,,,,,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
Analisis kualitas semen beku Sapi Simmental menggunakan pengencer Andromed® dengan variasi waktu pre freezing,https://scholar.google.com/scholar?q=+intitle:'Analisis kualitas semen beku Sapi Simmental menggunakan pengencer Andromed® dengan variasi waktu pre freezing',"Authors : RI Pratiwi, S Suharyati, M Hartono",2014,12 cited,Zero Hunger (Tanpa Kelaparan)
Starvasi Nitrogen dan Pengaruhnya Terhadap Biomassa dan Protein Total Nannochloropsis sp.(Nitrogen Starvation Effect on Biomass and Crude Protein of Nannochloropsis sp,https://scholar.google.com/scholar?q=+intitle:'Starvasi Nitrogen dan Pengaruhnya Terhadap Biomassa dan Protein Total Nannochloropsis sp.(Nitrogen Starvation Effect on Biomass and Crude Protein of Nannoc...',"Authors : M Muhaemin, F Practica, T Agustina",2014,0 cited,Zero Hunger (Tanpa Kelaparan)
Starvasi Nitrogen dan Pengaruhnya Terhadap Biomassa dan Protein Total Nannochloropsis sp.(Nitrogen Starvation Effect on Biomass and Crude Protein of Nannochloropsis sp),https://scholar.google.com/scholar?q=+intitle:'Starvasi Nitrogen dan Pengaruhnya Terhadap Biomassa dan Protein Total Nannochloropsis sp.(Nitrogen Starvation Effect on Biomass and Crude Protein of Nannochloropsis sp)',"Authors : M Muhaemin, F Practica, T Agustina",2014,10 cited,Zero Hunger (Tanpa Kelaparan)
Starvasi nitrogen dan pengaruhnya terhadap biomassa dan protein total Nannochloropsis sp,https://scholar.google.com/scholar?q=+intitle:'Starvasi nitrogen dan pengaruhnya terhadap biomassa dan protein total Nannochloropsis sp',"Authors : M Muhaemin, F Practica, DS Rosi, A Tri",2014,8 cited,Zero Hunger (Tanpa Kelaparan)
SEED SIZE AND SCARIFICATION WITH HOT WATER TO SEED GERMINATION OF NEDUN TREE,https://scholar.google.com/scholar?q=+intitle:'SEED SIZE AND SCARIFICATION WITH HOT WATER TO SEED GERMINATION OF NEDUN TREE',Authors : ALI Sandi,2014,0 cited,Life on Land (Ekosistem Daratan)
,,,,,Climate Action (Penanganan Perubahan Iklim)
IDENTIFICATION OF EPIPHYTES AND ITS CANTILEVER PLANT SPECIES AT PROTECTION BLOCK OF WAN ABDUL RACHMAN GREAT FOREST PARK,https://scholar.google.com/scholar?q=+intitle:'IDENTIFICATION OF EPIPHYTES AND ITS CANTILEVER PLANT SPECIES AT PROTECTION BLOCK OF WAN ABDUL RACHMAN GREAT FOREST PARK',Authors : GRN Nawawi,2014,0 cited,Life on Land (Ekosistem Daratan)
Identifikasi jenis epifit dan tumbuhan yang menjadi penopangnya di blok perlindungan dalam kawasan Taman Hutan Raya Wan Abdul Rachman,https://scholar.google.com/scholar?q=+intitle:'Identifikasi jenis epifit dan tumbuhan yang menjadi penopangnya di blok perlindungan dalam kawasan Taman Hutan Raya Wan Abdul Rachman',"Authors : D Gesta Rama Noprian Nawawi, Indriyanto",2014,11 cited,Life on Land (Ekosistem Daratan)
Ukuran benih dan skarifikasi dengan air panas terhadap perkecambahan benih pohon kuku (Pericopsis mooniana),https://scholar.google.com/scholar?q=+intitle:'Ukuran benih dan skarifikasi dengan air panas terhadap perkecambahan benih pohon kuku (Pericopsis mooniana)',"Authors : D Anita Luksi Indria Sandi, Indriyanto",2014,31 cited,Life on Land (Ekosistem Daratan)
Pengaruh Aplikasi Fosfor dan Silika Terhadap Pertumbuhan dan Hasil Tanaman Kedelai (Glycine max [L.] Merrill.),https://scholar.google.com/scholar?q=+intitle:'Pengaruh Aplikasi Fosfor dan Silika Terhadap Pertumbuhan dan Hasil Tanaman Kedelai (Glycine max [L.] Merrill.)',"Authors : EA Puteri, Y Nurmiaty, A Agustiansyah",2014,15 cited,Zero Hunger (Tanpa Kelaparan)
Pengaruh aplikasi silika dan boron terhadap pertumbuhan dan produksi tanaman padi (Oryza sativa L.),https://scholar.google.com/scholar?q=+intitle:'Pengaruh aplikasi silika dan boron terhadap pertumbuhan dan produksi tanaman padi (Oryza sativa L.)',"Authors : RA Prawira, A Agustiansyah, Y Ginting, Y Nurmiaty",2014,13 cited,Zero Hunger (Tanpa Kelaparan)
KEMAMPUAN MENGUBAH KALIMAT AKTIF MENJADI KALIMAT PASIF SISWA KELAS X MA GISTING,https://scholar.google.com/scholar?q=+intitle:'KEMAMPUAN MENGUBAH KALIMAT AKTIF MENJADI KALIMAT PASIF SISWA KELAS X MA GISTING',"Authors : MM Algani, I Rejana, ES Agustina",2014,0 cited,Quality Education (Pendidikan Berkualitas)
Ragam Bahasa Dalam Acara Talk Show Kick Andy Periode Oktober 2013,https://scholar.google.com/scholar?q=+intitle:'Ragam Bahasa Dalam Acara Talk Show Kick Andy Periode Oktober 2013',"Authors : R Diasti, W Tarmnini, ES Agustina",2014,1 cited,Quality Education (Pendidikan Berkualitas)
KEMAMPUAN MENAMUKAN IDE POKOK PARAGRAF SISWA KELAS X SMAN 2 PRINGSEWU 2013/2014,https://scholar.google.com/scholar?q=+intitle:'KEMAMPUAN MENAMUKAN IDE POKOK PARAGRAF SISWA KELAS X SMAN 2 PRINGSEWU 2013/2014',"Authors : N Aisah, K Nazaruddin, ES Agustina",2014,0 cited,Quality Education (Pendidikan Berkualitas)
PEMBELAJARAN MEMAHAMI TEKS PROSEDUR KOMPLEKS SISWA KELAS X SMAN 3 BANDARLAMPUNG,https://scholar.google.com/scholar?q=+intitle:'PEMBELAJARAN MEMAHAMI TEKS PROSEDUR KOMPLEKS SISWA KELAS X SMAN 3 BANDARLAMPUNG',"Authors : SE Permatasari, M Widodo, ES Agustina",2014,0 cited,Quality Education (Pendidikan Berkualitas)
Kemampuan Menulis Cerita Pendek Pada Siswa Kelas IX SMP Negeri 2 Ambarawa Pringsewu,https://scholar.google.com/scholar?q=+intitle:'Kemampuan Menulis Cerita Pendek Pada Siswa Kelas IX SMP Negeri 2 Ambarawa Pringsewu',"Authors : EH Anggoro, S Samhati, ES Agustina",2014,1 cited,Quality Education (Pendidikan Berkualitas)
Potret Perencanaan Pembelajaran Bahasa dan Sastra Indonesia Berdasarkan Kurikulum 2013,https://scholar.google.com/scholar?q=+intitle:'Potret Perencanaan Pembelajaran Bahasa dan Sastra Indonesia Berdasarkan Kurikulum 2013',"Authors : MP Eka Sofia Agustina,S.Pd.",2014,0 cited,Quality Education (Pendidikan Berkualitas)
PERBEDAAN KEM BERDASARKAN LATIHAN MEMBACA SISWA KELAS VIII SMP NEGERI 4 GEDONG TATAAN,https://scholar.google.com/scholar?q=+intitle:'PERBEDAAN KEM BERDASARKAN LATIHAN MEMBACA SISWA KELAS VIII SMP NEGERI 4 GEDONG TATAAN',"Authors : P Wulandari, S Samhati, ES Agustina",2014,0 cited,Quality Education (Pendidikan Berkualitas)
LAMPUNG LANGUAGE TEACHING IN MULTIETHNIC AREAS (The Study of Contextual Learning),https://scholar.google.com/scholar?q=+intitle:'LAMPUNG LANGUAGE TEACHING IN MULTIETHNIC AREAS (The Study of Contextual Learning)',Authors : ES Agustina,2014,0 cited,Quality Education (Pendidikan Berkualitas)
Penerapan pembelajaran penemuan terbimbing berbantuan media foto untuk meningkatkan kemampuan penalaran siswa pada materi perbandingan di SMP Negeri 13 Malang,https://scholar.google.com/scholar?q=+intitle:'Penerapan pembelajaran penemuan terbimbing berbantuan media foto untuk meningkatkan kemampuan penalaran siswa pada materi perbandingan di SMP Negeri 13 Malang',Authors : ENS Agustina,2014,1 cited,Quality Education (Pendidikan Berkualitas)
Real Earnings Management dengan Pendekatan Biaya Produksi Analisis Berdasarkan Sektor Industri Pada Perusahaan Manufaktur,https://scholar.google.com/scholar?q=+intitle:'Real Earnings Management dengan Pendekatan Biaya Produksi Analisis Berdasarkan Sektor Industri Pada Perusahaan Manufaktur',Authors : R Agustina,2014,19 cited,Decent Work and Economic Growth (Pekerjaan Layak dan Pertumbuhan Ekonomi)
,,,,,"Industry, Inovation, and Infrastructure (Industri, Inovasi, dan Infrastruktur)"
Penentuan Kualitas dan Kuantitas Kandungan Zat Makanan Pakan,https://scholar.google.com/scholar?q=+intitle:'Penentuan Kualitas dan Kuantitas Kandungan Zat Makanan Pakan',Authors : F Fathul,2014,16 cited,Zero Hunger (Tanpa Kelaparan)
